run_id,algorithm,measure,cluster_count,a2a_to_acdc,cvg_to_acdc,output_rsf
42,WCA_vs_LIMBO,UEMNM_vs_IL,100_vs_194,81.09311741,0.108247423,mapreduceclientcore-1_UEMNM_100_clusters.rsf | mapreduceclientcore-1_IL_194_clusters.rsf
43,WCA_vs_LIMBO,UEMNM_vs_IL,100_vs_20,79.92160279,0.2,mapreduceclientcore-1_UEMNM_100_clusters.rsf | mapreduceclientcore-1_IL_20_clusters.rsf
44,WCA_vs_LIMBO,UEMNM_vs_IL,100_vs_244,78.33333333,0.086065574,mapreduceclientcore-1_UEMNM_100_clusters.rsf | mapreduceclientcore-1_IL_244_clusters.rsf
45,WCA_vs_LIMBO,UEMNM_vs_IL,100_vs_25,80.61712299,0.16,mapreduceclientcore-1_UEMNM_100_clusters.rsf | mapreduceclientcore-1_IL_25_clusters.rsf
46,WCA_vs_LIMBO,UEMNM_vs_IL,100_vs_294,76.57587549,0.071428571,mapreduceclientcore-1_UEMNM_100_clusters.rsf | mapreduceclientcore-1_IL_294_clusters.rsf
47,WCA_vs_LIMBO,UEMNM_vs_IL,100_vs_30,82.39375542,0.133333333,mapreduceclientcore-1_UEMNM_100_clusters.rsf | mapreduceclientcore-1_IL_30_clusters.rsf
48,WCA_vs_LIMBO,UEMNM_vs_IL,100_vs_344,74.46564885,0.061046512,mapreduceclientcore-1_UEMNM_100_clusters.rsf | mapreduceclientcore-1_IL_344_clusters.rsf
49,WCA_vs_LIMBO,UEMNM_vs_IL,100_vs_394,72.77153558,0.053299492,mapreduceclientcore-1_UEMNM_100_clusters.rsf | mapreduceclientcore-1_IL_394_clusters.rsf
50,WCA_vs_LIMBO,UEMNM_vs_IL,100_vs_40,84.02417962,0.15,mapreduceclientcore-1_UEMNM_100_clusters.rsf | mapreduceclientcore-1_IL_40_clusters.rsf
51,WCA_vs_LIMBO,UEMNM_vs_IL,100_vs_444,70.91911765,0.047297297,mapreduceclientcore-1_UEMNM_100_clusters.rsf | mapreduceclientcore-1_IL_444_clusters.rsf
