run_id,algorithm,measure,stop_threshold,serial_threshold,cluster_count,a2a_to_acdc,cvg_to_acdc,output_rsf
96,WCA_vs_LIMBO,UEMNM_vs_IL,100_vs_100,100_vs_100,_vs_,85.81649832,0.07,mapreduceclientcore_algo-wca_measure-uemnm_serial-100_stop-100.rsf | mapreduceclientcore_algo-limbo_measure-il_serial-100_stop-100.rsf
97,WCA_vs_LIMBO,UEMNM_vs_IL,100_vs_25,100_vs_100,_vs_,85.81649832,0.07,mapreduceclientcore_algo-wca_measure-uemnm_serial-100_stop-100.rsf | mapreduceclientcore_algo-limbo_measure-il_serial-100_stop-25.rsf
98,WCA_vs_LIMBO,UEMNM_vs_IL,100_vs_50,100_vs_100,_vs_,85.81649832,0.07,mapreduceclientcore_algo-wca_measure-uemnm_serial-100_stop-100.rsf | mapreduceclientcore_algo-limbo_measure-il_serial-100_stop-50.rsf
99,WCA_vs_LIMBO,UEMNM_vs_IL,100_vs_75,100_vs_100,_vs_,85.81649832,0.07,mapreduceclientcore_algo-wca_measure-uemnm_serial-100_stop-100.rsf | mapreduceclientcore_algo-limbo_measure-il_serial-100_stop-75.rsf
100,WCA_vs_LIMBO,UEMNM_vs_IL,100_vs_100,100_vs_110,_vs_,84.95389774,0.045454545,mapreduceclientcore_algo-wca_measure-uemnm_serial-100_stop-100.rsf | mapreduceclientcore_algo-limbo_measure-il_serial-110_stop-100.rsf
101,WCA_vs_LIMBO,UEMNM_vs_IL,100_vs_25,100_vs_110,_vs_,84.95389774,0.045454545,mapreduceclientcore_algo-wca_measure-uemnm_serial-100_stop-100.rsf | mapreduceclientcore_algo-limbo_measure-il_serial-110_stop-25.rsf
102,WCA_vs_LIMBO,UEMNM_vs_IL,100_vs_50,100_vs_110,_vs_,84.95389774,0.045454545,mapreduceclientcore_algo-wca_measure-uemnm_serial-100_stop-100.rsf | mapreduceclientcore_algo-limbo_measure-il_serial-110_stop-50.rsf
103,WCA_vs_LIMBO,UEMNM_vs_IL,100_vs_75,100_vs_110,_vs_,84.95389774,0.045454545,mapreduceclientcore_algo-wca_measure-uemnm_serial-100_stop-100.rsf | mapreduceclientcore_algo-limbo_measure-il_serial-110_stop-75.rsf
104,WCA_vs_LIMBO,UEMNM_vs_IL,100_vs_25,100_vs_25,_vs_,80.61712299,0.16,mapreduceclientcore_algo-wca_measure-uemnm_serial-100_stop-100.rsf | mapreduceclientcore_algo-limbo_measure-il_serial-25_stop-25.rsf
105,WCA_vs_LIMBO,UEMNM_vs_IL,100_vs_25,100_vs_30,_vs_,82.39375542,0.133333333,mapreduceclientcore_algo-wca_measure-uemnm_serial-100_stop-100.rsf | mapreduceclientcore_algo-limbo_measure-il_serial-30_stop-25.rsf
106,WCA_vs_LIMBO,UEMNM_vs_IL,100_vs_25,100_vs_40,_vs_,84.02417962,0.15,mapreduceclientcore_algo-wca_measure-uemnm_serial-100_stop-100.rsf | mapreduceclientcore_algo-limbo_measure-il_serial-40_stop-25.rsf
107,WCA_vs_LIMBO,UEMNM_vs_IL,100_vs_25,100_vs_50,_vs_,84.30782459,0.08,mapreduceclientcore_algo-wca_measure-uemnm_serial-100_stop-100.rsf | mapreduceclientcore_algo-limbo_measure-il_serial-50_stop-25.rsf
108,WCA_vs_LIMBO,UEMNM_vs_IL,100_vs_50,100_vs_50,_vs_,84.30782459,0.08,mapreduceclientcore_algo-wca_measure-uemnm_serial-100_stop-100.rsf | mapreduceclientcore_algo-limbo_measure-il_serial-50_stop-50.rsf
109,WCA_vs_LIMBO,UEMNM_vs_IL,100_vs_25,100_vs_60,_vs_,85.01712329,0.066666667,mapreduceclientcore_algo-wca_measure-uemnm_serial-100_stop-100.rsf | mapreduceclientcore_algo-limbo_measure-il_serial-60_stop-25.rsf
110,WCA_vs_LIMBO,UEMNM_vs_IL,100_vs_50,100_vs_60,_vs_,85.01712329,0.066666667,mapreduceclientcore_algo-wca_measure-uemnm_serial-100_stop-100.rsf | mapreduceclientcore_algo-limbo_measure-il_serial-60_stop-50.rsf
111,WCA_vs_LIMBO,UEMNM_vs_IL,100_vs_25,100_vs_70,_vs_,85.46462063,0.071428571,mapreduceclientcore_algo-wca_measure-uemnm_serial-100_stop-100.rsf | mapreduceclientcore_algo-limbo_measure-il_serial-70_stop-25.rsf
112,WCA_vs_LIMBO,UEMNM_vs_IL,100_vs_50,100_vs_70,_vs_,85.46462063,0.071428571,mapreduceclientcore_algo-wca_measure-uemnm_serial-100_stop-100.rsf | mapreduceclientcore_algo-limbo_measure-il_serial-70_stop-50.rsf
